name1,score1,score2,name2
Yeritsyan Aram,0,1,Kozionov Kirill
Barseghyan Armen Ar.,1,0,Nozdrachev Leonid
Rozhkov Viacheslav,0,1,Yeletsky Ivan
Hakobyan Hovhannes H.,1,0,Efanov Nikolai
Kretov Evgenij,0,1,Korchmar Vasiliy
Gorbatov Alexej,1,0,Shubin Kirill
Naumkin Igor,1,0,Konaplev Anton
Salemgareev Tagir,0.5,0.5,Aleksanyan Hrant
Geivondian Arman,0.5,0.5,Taalaibekov Tagir
Chernyak Viktoria,0,1,Muradli Mahammad
Ivanov Oleg V,1,0,Ivanov Platon-Jaan
Oganian Miran,0.5,0.5,Uraev Ivan
Savenkov Konstantin,0.5,0.5,Korennoi Viktor
Nazaretyan Tigran,0.5,0.5,Yuferov Sergey N
Kukhmazov Arsen,0.5,0.5,Gurvich Vitaly
Geshko Aleksey,0.5,0.5,Sanzhaev Darsen
Salman Pavel,0,1,Gubajdullin Alexei
Rozanov Pavel B.,0.5,0.5,Assaubayeva Bibisara
Saiyn Zhanat,0.5,0.5,Kesidis Odyseas
Mukhutdinov Tigran,0.5,0.5,Skorodelov Semen
Ageichenko Genadi A,0,1,Beletsky Alexey
Tsoi Dmitry,1,0,Pranizin Gennady
Marinskii Yurii,0,1,Nigmatov Ortik
Tran Minh Thang,1,0,Dolsonov Ayusha
Kavyev Ruslan,0.5,0.5,Saydaliev Saidakbar
Ganerdene Sugar,1,0,Guerrero Sierra Juan Carlos
Sawlin Leonid,1,0,Kutsanyan Andranik
Chibukhchyan Erik,0,1,Murtazin Ruslan
Perov German,1,0,Demianjuk Alexander
Zubkov Vsevolod,0.5,0.5,Shaydullina Sandugach
Borisenko Viacheslav,0,1,Manafov Vugar
Bykov Oleg,1,0,Serikbay Assel
Samadov Read,0,1,Davtyan Artur
Guliev Gasan,0.5,0.5,Yagupov Igor
Mischuk Dmitry,1,0,Bogaudinov Rushan
Sattarov Bobir,1,0,Astafurov Arseniy
Makoveev Ilya,0.5,0.5,Tekeyev Zaur
Saveliev Alexei,1,0,Poliakov Artem
Karpov Vadim,0,1,Fedotov Alexey
Kukelko Alexey,0,1,Cherepanov Vladislav
Lepaev Andrey,0,1,Shapiro David
Nurgali Nazerke,0,1,Pogosyan Stefan
Rodchenkov Vitaly,1,0,Makarian Rudik
Marchuk Rostislav,0,1,Murzin Volodar
Proleiko Julian,0,1,Tugarin Anton
Zaika Daniil,0,1,Primbetov Kazbek
Matyunin Maxim,1,0,Navrodskiy Boris
Nuristani Iman,0,1,Garayev Kanan
Suleymanli Aydin,1,0,Chumachenko Alexander
Zherebtsova Alexandra,1,0,Odegov Artem
Varshini V,0,1,Fitiak Sergey
Khmelev Mikhail,0.5,0.5,Mestnikov Aital
Mamatov Melis,1,0,Shoshin Kirill
Golikov Daniil,1,0,Efremov Vladislav
Gavrilin Roman,1,0,Syrchikov Alexander
Boiarintsev Vitaly,1,0,Dzyga Artem
Volovich Vasily,1,0,Bujakevich Aleksandr
Ter-Saakian Grigorii,1,0,Kholopov Alexander A.
Kovalev Egor,0,1,Smaglov Konstantin
Mochalin Faddey,0,1,Martynyuk Elizaveta
